Reference Temp (K),alpha,collision_diam
122.5,1.56552093702851,9.03017712747477
167.5,1.58597079976145,8.7812192914722
212.5,1.65052586496619,8.64699565800229
257.5,1.718680918895,8.59020577344398
302.5,1.73942626768491,8.38894993595057
347.5,1.74417789764359,8.14439863825403
392.5,1.76520813580728,7.97800330660509
437.5,1.80545540145832,7.90457805477972
482.5,1.85256324292998,7.88091840071313
527.5,1.89330060936624,7.8589494597415
572.5,1.92039023149061,7.81005765459957
617.5,1.9336020402566,7.72895571903613
662.5,1.93739530484283,7.6262790247385
707.5,1.93762928406859,7.51821548149426
752.5,1.93920991119099,7.41893237892119
797.5,1.94515279834194,7.33734720907168
842.5,1.95663157375942,7.27701492129616
887.5,1.97344100132322,7.23740120053501
932.5,1.99451064782554,7.21538862994609
977.5,2.0183314967787,7.20654720064624
